date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
617,토,2055,2205,아시아나항공,1시간 10분,비즈니스석,154900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2105,2215,제주항공,1시간 10분,할인석,98800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2105,2215,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2110,2220,제주항공,1시간 10분,할인석,98800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2110,2220,진에어,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,2110,2220,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2115,2225,이스타항공,1시간 10분,할인석,91800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,2115,2225,에어서울,1시간 10분,일반석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
617,토,2115,2235,에어부산,1시간 20분,일반석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,2115,2225,이스타항공,1시간 10분,일반석,99800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,2115,2225,대한항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,2115,2235,에어부산,1시간 20분,할인석,108500,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
617,토,2120,2230,진에어,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,2120,2230,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2120,2230,진에어,1시간 10분,비즈니스석,159900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
617,토,2125,2235,이스타항공,1시간 10분,할인석,91800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,2125,2235,이스타항공,1시간 10분,일반석,99800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
618,일,630,740,아시아나항공,1시간 10분,할인석,80900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
618,일,630,740,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
618,일,640,750,아시아나항공,1시간 10분,할인석,80900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
618,일,640,750,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
618,일,640,750,아시아나항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
618,일,700,810,대한항공,1시간 10분,할인석,90900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
618,일,700,810,대한항공,1시간 10분,비즈니스석,169900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
618,일,730,840,에어서울,1시간 10분,할인석,74800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
618,일,730,840,에어서울,1시간 10분,일반석,94800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
