date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
616,금,1810,1920,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1815,1925,제주항공,1시간 10분,할인석,98800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1815,1925,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1820,1930,대한항공,1시간 10분,할인석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1820,1930,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1825,1935,아시아나항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1825,1935,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1825,1935,아시아나항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1830,1940,티웨이항공,1시간 10분,할인석,110800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1830,1940,티웨이항공,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1835,1945,대한항공,1시간 10분,할인석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1835,1945,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1845,1955,에어부산,1시간 10분,할인석,96520,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1845,1955,아시아나항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1845,1955,에어부산,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1845,1955,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1845,1955,아시아나항공,1시간 10분,비즈니스석,171900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1850,2000,티웨이항공,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1855,2005,아시아나항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1855,2005,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1855,2005,아시아나항공,1시간 10분,비즈니스석,171900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1900,2010,대한항공,1시간 10분,할인석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1905,2015,진에어,1시간 10분,할인석,104800,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1905,2015,진에어,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/LJ.png
616,금,1910,2020,제주항공,1시간 10분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1910,2020,제주항공,1시간 10분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1920,2030,에어서울,1시간 10분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
616,금,1920,2030,대한항공,1시간 10분,할인석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1920,2035,아시아나항공,1시간 15분,할인석,110900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1920,2030,에어서울,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
616,금,1920,2035,아시아나항공,1시간 15분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1920,2035,아시아나항공,1시간 15분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1925,2035,이스타항공,1시간 10분,할인석,97800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1925,2035,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
